,precision,recall,f1-score,support
alternate picking,0.9473684210526315,1.0,0.972972972972973,18.0
legato,1.0,0.7777777777777778,0.875,18.0
tapping,0.6923076923076923,1.0,0.8181818181818182,18.0
sweep picking,1.0,0.7777777777777778,0.875,9.0
vibrato,1.0,0.6666666666666666,0.8,9.0
hammer on,0.0,0.0,0.0,9.0
pull off,0.1,0.1111111111111111,0.10526315789473684,9.0
slide,1.0,0.3333333333333333,0.5,9.0
bend,1.0,1.0,1.0,9.0
accuracy,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037
macro avg,0.7488529014844804,0.6296296296296295,0.6607131054499475,108.0
weighted avg,0.7816126855600539,0.7037037037037037,0.7177143950170267,108.0
